Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Paid Reach,Weekly Paid Reach,28 Days Paid Reach,Daily Viral Reach,Weekly Viral Reach,28 Days Viral Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Viral impressions,Weekly Viral impressions,28 Days Viral impressions,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Reach Of Page Posts,Weekly Reach Of Page Posts,28 Days Reach Of Page Posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Weekly Viral Reach Of Page Posts,28 Days Viral Reach Of Page Posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Weekly Viral Impressions Of Your Posts,28 Days Viral Impressions Of Your Posts,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Daily Page Consumptions,Weekly Page Consumptions,28 Days Page Consumptions,Daily Negative Feedback,Weekly Negative Feedback,28 Days Negative Feedback,Daily Negative Feedback From Users,Weekly Negative Feedback From Users,28 Days Negative Feedback From Users,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Organic Views,Weekly Total Organic Views,28 Days Total Organic Views,Daily Total Promoted Views,Weekly Total Promoted Views,28 Days Total Promoted Views,Daily Total Organic 30-Second Views,Weekly Total Organic 30-Second Views,28 Days Total Organic 30-Second Views,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total Auto-Played Views,Weekly Total Auto-Played Views,28 Days Total Auto-Played Views,Daily Total Clicked Views,Weekly Total Clicked Views,28 Days Total Clicked Views,Daily Video Repeats,Weekly Video Repeats,28 Days Video Repeats,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Total Clicked 30-Second Views,Weekly Total Clicked 30-Second Views,28 Days Total Clicked 30-Second Views,Daily Total 30-Second Repeats,Weekly Total 30-Second Repeats,28 Days Total 30-Second Repeats,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Daily Total: total action count per Page,Weekly Total: total action count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page
,Lifetime: The total number of people who have liked your Page. (Unique Users),Daily: The number of new people who have liked your Page (Unique Users),Daily: The number of Unlikes of your Page (Unique Users),Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),Weekly: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),28 Days: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Daily: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)",Daily: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),"Daily:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)",Daily: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)",Daily: Page Views from users logged into Facebook (Total Count),Weekly: Page Views from users logged into Facebook (Total Count),Daily: Page Views from users logged into Facebook (Unique Users),Weekly: Page Views from users logged into Facebook (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Daily: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Daily: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Daily: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Daily: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Weekly: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","28 Days: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Weekly: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","28 Days: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)",Daily: The number of people who have given negative feedback to your Page. (Unique Users),Weekly: The number of people who have given negative feedback to your Page. (Unique Users),28 Days: The number of people who have given negative feedback to your Page. (Unique Users),Daily: The number of times people have given negative feedback to your Page. (Total Count),Weekly: The number of times people have given negative feedback to your Page. (Total Count),28 Days: The number of times people have given negative feedback to your Page. (Total Count),Daily: Total check-ins at your Place (Total Count),Weekly: Total check-ins at your Place (Total Count),28 Days: Total check-ins at your Place (Total Count),Daily: Total check-ins at your Place (Unique Users),Weekly: Total check-ins at your Place (Unique Users),28 Days: Total check-ins at your Place (Unique Users),Daily: Total check-ins at your Place using mobile devices (Total Count),Weekly: Total check-ins at your Place using mobile devices (Total Count),28 Days: Total check-ins at your Place using mobile devices (Total Count),Daily: Total check-ins at your Place using mobile devices (Unique Users),Weekly: Total check-ins at your Place using mobile devices (Unique Users),28 Days: Total check-ins at your Place using mobile devices (Unique Users),Daily: Number of times a video has been viewed due to organic reach (Total Count),Weekly: Number of times a video has been viewed due to organic reach (Total Count),28 Days: Number of times a video has been viewed due to organic reach (Total Count),Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Daily: Number of times the video has been viewed for at least 30s by organic reach (Total Count),Weekly: Number of times the video has been viewed for at least 30s by organic reach (Total Count),28 Days: Number of times the video has been viewed for at least 30s by organic reach (Total Count),"Daily: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Weekly: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","28 Days: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)",Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Weekly: Total number of times videos have been viewed for more than 3 seconds. (Total Count),28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Daily: Number of times a video has been viewed after the user clicked play (Total Count),Weekly: Number of times a video has been viewed after the user clicked play (Total Count),28 Days: Number of times a video has been viewed after the user clicked play (Total Count),Daily: Number of times the video has been seen outside the first play (Total Count),Weekly: Number of times the video has been seen outside the first play (Total Count),28 Days: Number of times the video has been seen outside the first play (Total Count),Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Weekly: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),28 Days: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),Weekly: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),28 Days: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),"Daily: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Weekly: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","28 Days: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)",Daily: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Weekly: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),28 Days: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Daily: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Weekly: Number of times a video has been viewed for at least 30s outside the first play (Total Count),28 Days: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Daily: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Weekly: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),28 Days: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Daily: The number of clicks on your Page's contact info and call-to-action button.,Weekly: The number of clicks on your Page's contact info and call-to-action button.,Daily: Total get direction click count per Page,Weekly: Total get direction click count per Page,Daily: Total get direction click count per Page  (Unique Users),Weekly: Total get direction click count per Page (Unique Users),Daily: Total phone calls click count per Page,Weekly: Total phone calls click count per Page,Daily: Total phone calls click count per Page (Unique Users),Weekly: Total phone calls click count per Page (Unique Users),Daily: Total website click count per Page,Weekly: Total website click count per Page,Daily: Total website click count per Page (Unique Users),Weekly: Total website click count per Page (Unique Users)
5/31/19,305635,395,86,41255,94826,262002,524462,904010,1719993,80244,370348,1292611,461454,605529,605529,12532,71090,372808,702142,1860068,5427503,161719,1108828,4669684,539978,750002,750002,19014,108475,657730,445,1238,128,405,524462,904010,1719754,79829,370326,1290591,461454,605529,605529,12532,71083,372628,701002,1854580,5401404,161024,1104578,4651402,539978,750002,750002,19011,108453,657859,38176,89243,244945,67095,163633,494503,10,65,253,11,73,311,,,,,,,,,,,,,40676,253595,1172372,174219,249205,249205,14205,90166,435740,31390,43495,43495,214895,502800,1421577,188127,437200,1210546,26768,65600,211031,12870,128445,630831,202025,374355,790746,45595,133661,479235,32857,97232,345702,12738,36429,133533,4425,29306,160834,41170,104355,318401,10,42,,,,,,,,,,7,,6
6/1/19,306011,531,97,52170,132951,283867,697703,1285505,1978597,106533,384284,1226573,625974,999390,999390,34246,86224,385912,983748,2630224,6060505,223581,1118959,4542683,757275,1507277,1507277,50381,135623,673037,2892,3988,141,468,697551,1285505,1978597,106240,384284,1226573,625974,999390,999390,34246,86214,385720,978802,2620072,6032269,221527,1112795,4524992,757275,1507277,1507277,50376,135598,673164,48152,123638,265435,82812,227154,536306,21,70,267,25,83,322,,,,,,,,,,,,,57991,260715,1139197,225631,474836,474836,21680,93598,418046,35989,79484,79484,283622,735551,1614033,249750,643149,1388985,33872,92402,225048,40990,191103,693379,242632,544448,920654,57669,173082,497530,41599,125746,361849,16070,47336,135681,8000,37170,166730,49669,135912,330800,13,45,,,,,,,,,1,4,1,4
6/2/19,306260,460,101,56605,170146,303159,625142,1536578,2173012,118239,396478,1208914,530065,1259082,1259082,34901,111686,410562,919669,3367711,6765588,260607,1197506,4588819,657048,2164325,2164325,51674,173814,699560,2014,5880,114,507,625111,1535839,2173012,117869,396276,1208914,530065,1259082,1259082,34901,111638,410345,916348,3354994,6735915,259300,1190669,4571590,657048,2164325,2164325,51672,173792,699695,48070,155236,278493,74401,284128,586033,21,82,275,26,97,336,,,,,,,,,,,,,47932,266338,1128500,210651,685487,685487,15697,92917,407460,35949,115433,115433,258583,951825,1813987,228763,836892,1572884,29820,114933,241103,21675,261987,797136,236908,689838,1016851,51646,208350,522893,36514,151165,381637,15132,57185,141256,3980,43367,178592,47666,164983,344301,10,48,,,,,,,,,2,6,2,6
6/3/19,306516,460,103,17907,178024,308040,194170,1591552,2216389,194170,500627,1266480,,1259082,1259082,21625,119153,409782,359647,3546601,6924233,359492,1376395,4747475,,2164325,2164325,29799,186203,695964,155,,62,,194152,1590760,2216389,194152,500427,1266221,,1259082,1259082,21625,119098,409566,358791,3534000,6895809,358791,1369675,4731484,,2164325,2164325,29794,186176,696100,14273,159316,279612,24726,291467,585933,13,83,278,13,97,338,,,,,,,,,,,,,59632,283383,1124262,162,685649,685649,17811,96158,395171,33,115466,115466,59794,969032,1809911,50782,851372,1574492,9012,117660,235419,12168,270768,784924,47626,698264,1024987,17844,211624,510637,12195,152820,373953,5649,58804,136684,2493,42283,173238,15351,169341,337399,9,51,,,,,,,,,,4,,4
6/4/19,306473,204,108,6877,179524,301199,93541,1605582,2216837,93541,522331,1256973,,1259082,1259082,13671,119271,403252,155077,3562816,6906087,155022,1392650,4729421,,2164325,2164325,19057,189223,688893,55,5841,31,495,93541,1605582,2216837,93541,522309,1256973,,1259082,1259082,13660,119216,403042,154503,3550286,6877700,154503,1385961,4713375,,2164325,2164325,19055,189202,689034,5386,159045,273094,8086,289485,575064,12,86,284,13,102,345,,,,,,,,,,,,,25207,279137,1097109,,685649,685649,7065,93112,378717,,115466,115466,25207,964786,1782758,22311,848076,1555209,2896,116710,227549,3686,272914,776243,21521,691872,1006515,7065,208578,494183,5312,150474,363038,1753,58104,131145,969,39330,168243,6096,169248,325940,7,56,,,,,,,,,,3,,3
6/5/19,306443,174,90,5648,180090,298006,66385,1612441,2189921,66385,535208,1224971,,1259082,1259082,9506,121977,377971,99741,3559218,6798774,99677,1389077,4623111,,2164325,2164325,13437,192104,645986,64,5816,34,492,66339,1612441,2189921,66339,535185,1224971,,1259082,1259082,9503,121977,377787,99355,3546757,6771759,99355,1382432,4607434,,2164325,2164325,13420,192069,645869,4684,159728,268705,6813,288492,561113,7,88,280,10,108,342,,,,,,,,,,,,,20200,276510,1059284,,685649,685649,6399,91195,363952,,115466,115466,20200,962159,1744933,17568,846194,1523566,2632,115965,221367,2847,266207,750399,17353,695952,994534,6399,206661,479418,4819,149078,352782,1580,57583,126636,833,41612,160028,5566,165049,319390,7,62,,,,,,,,,,3,,3
6/6/19,306451,191,75,8260,172932,295708,80664,1564215,2182841,80664,551004,1236547,,1191278,1259082,8046,121909,366123,162849,3382873,6833109,162783,1422881,4657471,,1954301,2164325,11028,194390,629810,66,5691,39,469,80396,1564215,2182841,80396,550979,1236547,,1191278,1259082,8043,121909,365950,162519,3371320,6806020,162519,1417019,4641695,,1954301,2164325,11022,194350,629698,7228,152615,266038,12139,276072,559567,12,90,281,14,112,346,,,,,,,,,,,,,40286,291924,1063414,,610663,685649,12232,95089,362468,,103361,115466,40286,902587,1749063,36150,793451,1529800,4136,109136,219263,12526,255517,755245,27760,647070,993818,12232,198450,477934,9540,142836,352853,2692,55614,125081,2694,37349,158241,9538,161101,319693,5,61,,,,,,,,,1,4,1,4
6/7/19,306397,150,84,7843,146614,295355,63364,1389897,2180355,63364,551620,1241384,,987327,1259082,5159,115855,360734,112151,2792882,6781161,112072,1373234,4605668,,1414323,2164325,7309,182685,617064,79,5325,35,403,63327,1389897,2180355,63327,551596,1241384,,987327,1259082,5159,115855,360566,111642,2781960,6753931,111642,1367637,4589606,,1414323,2164325,7309,182648,616954,7183,127913,263814,11056,220033,555992,19,96,280,23,124,339,,,,,,,,,,,,,24737,275985,1048326,,436444,685649,7951,88835,356293,,71971,115466,24737,712429,1733975,21529,626853,1516819,3208,85576,217156,5498,183616,741680,19239,528813,992295,7951,160806,471759,5893,115872,348231,2058,44934,123528,1440,30616,155407,6511,130190,316352,7,58,,,,,,,,,,4,,4
6/8/19,306276,108,90,7234,106753,287305,46634,979701,2169043,46634,520034,1211394,,530065,1259082,5495,89331,338445,94226,1903360,6742252,94153,1243806,4566784,,657048,2164325,7759,140063,571781,73,2506,41,318,46589,979624,2169043,46589,520013,1211394,,530065,1259082,5495,89331,338297,94033,1897191,6715023,94033,1240143,4550698,,657048,2164325,7759,140031,571674,5767,88776,257418,8085,145306,546844,9,88,285,9,108,343,,,,,,,,,,,,,14927,232921,1022843,,210813,685649,4599,71754,344677,,35982,115466,14927,443734,1708492,12848,389951,1496618,2079,53783,211874,2466,98833,737541,12461,344901,970951,4599,107736,460143,3454,77727,340622,1145,30009,119521,631,18422,153306,3968,89314,306837,,45,,,,,,,,,,3,,3
6/9/19,306041,66,108,3154,52567,284532,31254,470013,2173611,31254,470013,1202397,,,1259082,3630,60264,331413,58073,1041764,6668998,58000,1041199,4493613,,,2164325,4882,93271,560395,73,565,35,245,31254,469728,2173611,31254,469728,1202397,,,1259082,3630,60264,331271,57674,1038517,6641801,57674,1038517,4477476,,,2164325,4882,93241,560291,2859,43675,255127,4056,74961,538617,6,73,281,7,89,334,,,,,,,,,,,,,11036,196025,999542,,162,685649,3680,59737,335924,,33,115466,11036,196187,1685191,9503,170691,1476297,1533,25496,208894,1568,63128,723606,9468,133059,961585,3680,59770,451390,2772,43985,333929,908,15785,117461,498,13503,150461,3182,46267,300929,3,38,,,,,,,,,1,2,1,2
6/10/19,305912,83,75,2511,38577,281490,26171,334837,2160023,26171,334837,1175703,,,1259082,3090,43838,323505,43979,726096,6535130,43908,725615,4359978,,,2164325,4167,67639,545075,71,481,33,221,26166,334693,2160023,26166,334693,1175703,,,1259082,3090,43838,323370,43707,723433,6508292,43707,723433,4343967,,,2164325,4167,67614,544976,2298,32577,252802,3080,53315,527439,1,63,267,1,77,317,,,,,,,,,,,,,8445,144838,963804,,,685649,2861,44787,324978,,,115466,8445,144838,1649453,7202,127111,1444545,1243,17727,204908,1252,45826,705062,7193,99012,944391,2861,44787,440444,2128,33918,325321,733,10869,115123,319,10218,151171,2542,34569,289273,5,34,,,,,,,,,2,4,2,4
6/11/19,305801,76,70,2900,34610,269994,29158,271522,2121225,29141,271522,1126090,,,1259082,3618,36672,281915,61842,632861,6352055,61764,632357,4177060,,,2164325,4868,53450,464661,78,504,30,217,29127,271522,2121225,29127,271522,1126090,,,1259082,3618,36672,281813,61328,630258,6325215,61328,630258,4160890,,,2164325,4868,53427,464565,2535,29898,242047,3504,48733,509748,4,56,256,4,68,304,,,,,,,,,,,,,7259,126890,910957,,,685649,2654,40376,309791,,,115466,7259,126890,1596606,6220,111020,1398454,1039,15870,198152,1042,40872,682087,6217,86018,914519,2654,40376,425257,2023,30629,313698,631,9747,111559,547,8626,146356,2107,31750,278901,6,33,,,,,,,,,2,6,2,6
6/12/19,305648,60,91,2704,31739,264394,29096,238267,2112046,29096,238267,1094416,,,1259082,5432,33674,259037,51442,584562,6233945,51356,584036,4059294,,,2164325,7196,47209,434701,86,526,44,224,29093,238267,2112046,29093,238267,1094416,,,1259082,5430,33674,258951,50860,581763,6207706,50860,581763,4043381,,,2164325,7163,47170,434598,2470,27737,237874,2997,44917,500951,2,52,246,2,60,293,,,,,,,,,,,,,7179,113869,879180,,,685649,2546,36523,299965,,,115466,7179,113869,1564829,6103,99555,1369947,1076,14314,194882,785,34644,665937,6394,79225,898892,2546,36523,415431,1973,27783,305813,573,8740,109618,279,7790,139706,2267,28733,275725,2,28,,,,,,,,,,6,,6
6/13/19,305519,70,84,1744,25826,261401,18692,192322,2083249,18692,192322,1073889,,,1259082,4025,30056,253116,38513,460226,6067501,38463,459716,3895214,,,2164325,5595,41776,416248,50,510,23,210,18681,192322,2083249,18681,192322,1073889,,,1259082,4017,30047,253033,37596,456840,6043810,37596,456840,3879485,,,2164325,5593,41741,416143,1501,22296,235167,2093,34871,489614,5,46,242,6,52,290,,,,,,,,,,,,,5284,78867,840415,,,685649,1884,26175,287806,,,115466,5284,78867,1526064,4465,67870,1334844,819,10997,191220,540,18501,634195,4744,60366,891869,1884,26175,403272,1359,19602,296006,525,6573,107266,238,4371,133352,1646,21804,269920,1,24,,,,,,,,,1,6,1,6
6/14/19,305429,106,87,3173,21554,259267,26825,163058,2067512,26810,163058,1057954,,,1259082,3304,28262,246505,42079,390154,5933419,41997,389641,3761176,,,2164325,4579,39046,404166,82,513,48,224,26810,163058,2067512,26810,163058,1057954,,,1259082,3304,28254,246426,41833,387031,5909716,41833,387031,3745391,,,2164325,4578,39010,404060,2937,19104,233245,3541,27356,478196,4,30,237,4,33,282,,,,,,,,,,,,,9049,63179,802649,,,685649,3147,21371,274727,,,115466,9049,63179,1488298,7918,54259,1301493,1131,8920,186805,745,11326,599463,8304,51853,888835,3147,21371,390193,2543,16252,286093,604,5119,104100,398,3386,126522,2749,17985,263671,2,19,,,,,,,,,1,7,1,7
6/15/19,305205,84,87,2164,17231,255589,23525,144870,2045721,23514,144789,1038586,,,1259082,2518,25684,240327,37038,332966,5856488,36989,332477,3684317,,,2164325,3455,34742,394093,49,489,33,215,23514,144491,2045721,23514,144491,1038586,,,1259082,2518,25664,240252,36931,329929,5832844,36931,329929,3668519,,,2164325,3454,34705,393988,1892,15642,229194,2710,21981,471359,6,28,236,6,30,280,,,,,,,,,,,,,8403,56655,779079,,,685649,3027,19799,267200,,,115466,8403,56655,1464728,7518,48929,1281001,885,7726,183727,752,10403,581298,7651,46252,883430,3027,19799,382666,2489,15287,280495,538,4512,102171,115,3035,123612,2912,16764,259054,2,21,,,,,,,,,1,8,1,8
