Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Paid Reach,Weekly Paid Reach,28 Days Paid Reach,Daily Viral Reach,Weekly Viral Reach,28 Days Viral Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Viral impressions,Weekly Viral impressions,28 Days Viral impressions,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Reach Of Page Posts,Weekly Reach Of Page Posts,28 Days Reach Of Page Posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Weekly Viral Reach Of Page Posts,28 Days Viral Reach Of Page Posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Weekly Viral Impressions Of Your Posts,28 Days Viral Impressions Of Your Posts,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Daily Page Consumptions,Weekly Page Consumptions,28 Days Page Consumptions,Daily Negative Feedback,Weekly Negative Feedback,28 Days Negative Feedback,Daily Negative Feedback From Users,Weekly Negative Feedback From Users,28 Days Negative Feedback From Users,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Organic Views,Weekly Total Organic Views,28 Days Total Organic Views,Daily Total Promoted Views,Weekly Total Promoted Views,28 Days Total Promoted Views,Daily Total Organic 30-Second Views,Weekly Total Organic 30-Second Views,28 Days Total Organic 30-Second Views,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total Auto-Played Views,Weekly Total Auto-Played Views,28 Days Total Auto-Played Views,Daily Total Clicked Views,Weekly Total Clicked Views,28 Days Total Clicked Views,Daily Video Repeats,Weekly Video Repeats,28 Days Video Repeats,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Total Clicked 30-Second Views,Weekly Total Clicked 30-Second Views,28 Days Total Clicked 30-Second Views,Daily Total 30-Second Repeats,Weekly Total 30-Second Repeats,28 Days Total 30-Second Repeats,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Daily Total: total action count per Page,Weekly Total: total action count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page
,Lifetime: The total number of people who have liked your Page. (Unique Users),Daily: The number of new people who have liked your Page (Unique Users),Daily: The number of Unlikes of your Page (Unique Users),Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),Weekly: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),28 Days: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Daily: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)",Daily: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),"Daily:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)",Daily: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)",Daily: Page Views from users logged into Facebook (Total Count),Weekly: Page Views from users logged into Facebook (Total Count),Daily: Page Views from users logged into Facebook (Unique Users),Weekly: Page Views from users logged into Facebook (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Daily: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Daily: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Daily: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Daily: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Weekly: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","28 Days: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Weekly: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","28 Days: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)",Daily: The number of people who have given negative feedback to your Page. (Unique Users),Weekly: The number of people who have given negative feedback to your Page. (Unique Users),28 Days: The number of people who have given negative feedback to your Page. (Unique Users),Daily: The number of times people have given negative feedback to your Page. (Total Count),Weekly: The number of times people have given negative feedback to your Page. (Total Count),28 Days: The number of times people have given negative feedback to your Page. (Total Count),Daily: Total check-ins at your Place (Total Count),Weekly: Total check-ins at your Place (Total Count),28 Days: Total check-ins at your Place (Total Count),Daily: Total check-ins at your Place (Unique Users),Weekly: Total check-ins at your Place (Unique Users),28 Days: Total check-ins at your Place (Unique Users),Daily: Total check-ins at your Place using mobile devices (Total Count),Weekly: Total check-ins at your Place using mobile devices (Total Count),28 Days: Total check-ins at your Place using mobile devices (Total Count),Daily: Total check-ins at your Place using mobile devices (Unique Users),Weekly: Total check-ins at your Place using mobile devices (Unique Users),28 Days: Total check-ins at your Place using mobile devices (Unique Users),Daily: Number of times a video has been viewed due to organic reach (Total Count),Weekly: Number of times a video has been viewed due to organic reach (Total Count),28 Days: Number of times a video has been viewed due to organic reach (Total Count),Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Daily: Number of times the video has been viewed for at least 30s by organic reach (Total Count),Weekly: Number of times the video has been viewed for at least 30s by organic reach (Total Count),28 Days: Number of times the video has been viewed for at least 30s by organic reach (Total Count),"Daily: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Weekly: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","28 Days: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)",Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Weekly: Total number of times videos have been viewed for more than 3 seconds. (Total Count),28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Daily: Number of times a video has been viewed after the user clicked play (Total Count),Weekly: Number of times a video has been viewed after the user clicked play (Total Count),28 Days: Number of times a video has been viewed after the user clicked play (Total Count),Daily: Number of times the video has been seen outside the first play (Total Count),Weekly: Number of times the video has been seen outside the first play (Total Count),28 Days: Number of times the video has been seen outside the first play (Total Count),Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Weekly: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),28 Days: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),Weekly: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),28 Days: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),"Daily: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Weekly: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","28 Days: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)",Daily: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Weekly: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),28 Days: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Daily: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Weekly: Number of times a video has been viewed for at least 30s outside the first play (Total Count),28 Days: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Daily: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Weekly: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),28 Days: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Daily: The number of clicks on your Page's contact info and call-to-action button.,Weekly: The number of clicks on your Page's contact info and call-to-action button.,Daily: Total get direction click count per Page,Weekly: Total get direction click count per Page,Daily: Total get direction click count per Page  (Unique Users),Weekly: Total get direction click count per Page (Unique Users),Daily: Total phone calls click count per Page,Weekly: Total phone calls click count per Page,Daily: Total phone calls click count per Page (Unique Users),Weekly: Total phone calls click count per Page (Unique Users),Daily: Total website click count per Page,Weekly: Total website click count per Page,Daily: Total website click count per Page (Unique Users),Weekly: Total website click count per Page (Unique Users)
12/31/18,65253,3678,202,12518,54275,145036,630589,1504638,4052178,15191,48418,72972,621882,1470647,4035550,9352,37588,54782,760465,2811380,11953658,36367,144342,349792,723452,2664610,11597864,13996,63608,110592,646,2401,280,949,463925,1038290,3450615,15191,48418,72756,454978,995018,3425474,9352,37530,54483,556122,1771022,8830973,36243,144044,347992,519879,1626978,8482981,13987,63550,109149,7712,22902,74287,9843,32753,120366,3,14,36,3,17,43,,,,,,,,,,,,,2972,7655,18804,28936,65217,157906,1168,2791,5410,11070,24511,34645,31908,72872,176710,27264,61114,142341,4644,11758,34369,1115,4596,23202,30793,68276,153508,12238,27302,40055,9605,21124,29628,2633,6178,10427,467,925,3075,11771,26377,36980,,,,,,,,,,,,,,
1/1/19,67602,2454,92,3847,54496,148686,127296,1507141,4085154,7597,52514,76427,120824,1468454,4065250,3847,40538,56991,152000,2820336,12072776,16846,155605,358655,134921,2662394,11708067,5543,68899,113858,233,2310,99,675,7597,1042112,3452780,7597,52514,76310,,995018,3425474,3847,40470,56884,16818,1782288,8815100,16818,155310,356837,,1626978,8458263,5539,68868,112421,1362,23201,75187,1866,33263,121550,,14,36,,17,43,,,,,,,,,,,,,1055,8368,19666,,65217,157906,383,3093,5728,,24511,34645,1055,73585,177572,833,61723,143071,222,11862,34501,176,5066,22799,879,68519,154773,383,27604,40373,288,21362,29873,95,6242,10500,27,775,3122,356,26829,37251,,,,,,,,,,,,,,
1/2/19,70030,2855,268,4112,54300,151514,114566,1530184,4063708,6537,54216,76595,109651,1493555,4044507,2273,41878,56199,146998,2834019,11870194,19620,165406,366216,127126,2666175,11497831,3352,71748,111535,252,2418,102,315,6537,1044045,3420478,6537,54216,76478,,995018,3394027,2273,41805,56063,19593,1792110,8485286,19593,165132,364385,,1626978,8120901,3345,71715,110105,1398,23274,75578,2087,32532,121984,3,17,38,3,20,44,,,,,,,,,,,,,669,8396,20137,,65217,157906,212,3236,5872,,24511,34645,669,73613,178043,481,61761,143461,188,11852,34582,170,4931,23193,499,68682,154850,212,27747,40517,147,21464,29987,65,6283,10530,24,869,3185,188,26878,37332,,,,,,,,,,,,,,
1/3/19,73622,3660,114,5676,55896,153620,175892,1559141,3910406,5817,55348,75696,170322,1519731,3891400,1349,42576,54870,227089,2899916,10928705,16657,173038,363124,210265,2724443,10559553,1980,73414,107290,167,2415,98,684,5812,1045499,3186412,5812,55348,75582,,995018,3153779,1345,42501,54740,16628,1799749,7333642,16628,172771,361284,,1626978,6972358,1972,73375,105870,1941,23523,75384,2643,32262,120333,4,18,38,4,21,44,,,,,,,,,,,,,618,8720,20467,,65217,157906,195,3377,5976,,24511,34645,618,73937,178373,386,61987,143744,232,11950,34629,189,5385,23290,429,68552,155083,195,27888,40621,121,21558,30077,74,6330,10544,28,1038,3314,167,26850,37307,,,,,,,,,,,,,,
1/4/19,76969,3642,160,4924,55139,153682,184755,1592247,3648347,2788,49013,75451,183035,1557017,3620122,533,36720,54077,234282,2881168,10306747,8239,158751,361022,225987,2720215,9939866,803,63835,104860,56,2202,48,822,2788,1023671,2855046,2788,49013,75337,,976227,2818520,530,36664,53891,8221,1690650,6485881,8221,158496,359197,,1532154,6126684,798,63795,103460,1420,24230,74746,1943,31806,118878,1,17,38,1,17,42,,,,,,,,,,,,,487,8822,20708,,65217,157906,153,3416,6072,,24511,34645,487,74039,178614,269,62021,143923,218,12018,34691,145,5363,23063,342,68676,155551,153,27927,40717,77,21569,30137,76,6358,10580,13,1046,3252,140,26881,37465,,,,,,,,,,,,,,
1/5/19,80012,3140,87,4275,49794,155714,165010,1494612,3409974,2373,36541,75563,163361,1478951,3382068,448,24654,53800,208071,2613626,9740877,6966,135211,361721,200969,2476449,9373270,632,41333,103785,136,1966,70,765,2373,883053,2548708,2373,36541,75501,,853818,2515721,444,24654,53649,6936,1332536,5719035,6936,134940,359916,,1197596,5359119,616,41282,102419,1337,23480,73610,1752,30743,117119,,15,38,,15,42,,,,,,,,,,,,,419,8808,20565,,65217,157906,138,3404,6063,,24511,34645,419,74025,178471,241,62007,143858,178,12018,34613,119,5085,22513,300,68940,155958,138,27915,40708,82,21556,30152,56,6359,10556,18,1043,3236,120,26872,37472,,,,,,,,,,,,,,
1/6/19,82673,2807,140,5152,39026,156052,200398,1097338,3312208,2401,28207,74115,198758,1075353,3283260,338,17070,52693,248423,1977328,9607448,5857,110552,356430,242442,1865162,9245148,509,26815,100458,116,1606,67,336,2398,474978,2360025,2398,28175,74033,,454978,2324057,337,17058,52623,5835,630153,5343276,5835,110274,354721,,519879,4988555,506,26763,99207,2491,16513,71760,3062,23196,115025,,11,37,,11,41,,,,,,,,,,,,,465,6685,19781,,28936,150820,124,2373,5879,,11070,33983,465,35621,170601,267,29741,137302,198,5880,33299,130,2518,20276,335,33103,150325,124,13443,39862,71,10391,29493,53,3052,10369,20,669,2980,104,12774,36882,,,,,,,,,,,,,,
1/7/19,83368,792,73,2418,27870,152597,69303,626858,3217217,3847,18575,73832,65904,613821,3182522,1001,9062,52269,83050,1299913,9484090,10584,84769,355098,72327,1214037,9123114,1435,14254,99919,128,1088,52,379,3847,18562,2254390,3847,18562,73751,,,2213211,1001,9045,52173,10570,84601,5147603,10570,84601,353409,,,4794194,1434,14210,98688,1648,10549,66362,1928,15281,107954,2,10,36,2,10,40,,,,,,,,,,,,,272,3985,19711,,,121325,103,1308,5882,,,31189,272,3985,141036,160,2637,112314,112,1348,28722,92,1259,17677,180,2726,123359,103,1308,37071,70,856,27135,33,452,9936,17,201,2825,86,1107,34246,,,,,,,,,,,,,,
1/8/19,83336,73,49,2222,25826,145934,104386,665622,3116099,5711,16423,73848,100285,653811,3081238,1637,6780,51631,120820,1268733,9272887,14086,82009,359923,106599,1185715,8907102,2369,11080,99941,135,990,53,339,104386,115035,2161047,5711,16410,73767,100285,100285,2117009,1634,6774,51537,120657,188440,4936414,14058,81841,358232,106599,106599,4578182,2364,11035,98726,1877,10784,61396,2610,16025,102590,6,16,41,6,16,45,,,,,,,,,,,,,1685,4615,21081,20966,20966,118419,1056,1981,6847,20957,20957,50113,22651,25581,139500,21864,23668,114001,787,1913,25499,,780,17031,22651,24801,122469,22013,22938,56960,21325,21893,46777,688,1045,10183,,,3882,22013,22938,53078,,,,,,,,,,,,,,
1/9/19,83302,70,49,1432,23272,141173,93945,689269,3077817,3314,14321,73457,92174,678196,3040440,762,5375,51046,108857,1230592,9106905,8196,70585,357239,100589,1159178,8743912,1038,8766,98772,72,810,26,367,93945,185448,2104635,3314,14311,73377,92174,174215,2059928,762,5371,50953,108748,277595,4781726,8159,70407,355540,100589,207188,4426186,1038,8728,97575,1107,10519,59765,1313,15251,99715,2,15,43,3,16,48,,,,,,,,,,,,,658,4604,21417,22625,43591,132256,383,2152,7140,22619,43576,72014,23283,48195,153673,22698,45885,128968,585,2310,24705,871,2396,19745,22412,45799,133928,23002,45728,79154,22468,44214,68599,534,1514,10555,793,1549,5443,22209,44179,73711,,,,,,,,,,,,,,
1/10/19,83250,42,42,497,18885,134001,6017,615398,2934966,3145,12815,72697,3126,605766,2898243,713,4674,50772,11965,1015468,8454793,8528,62456,353826,3341,952254,8095260,987,7773,97966,96,739,36,308,6011,186446,1921088,3145,12813,72564,3126,176776,1880909,713,4664,50654,11851,272818,4263033,8510,62289,352155,3341,210529,3910878,986,7742,96814,283,8841,58070,445,13053,96703,3,14,47,3,15,51,,,,,,,,,,,,,341,4327,21031,54,43645,132310,181,2138,7160,54,43630,72068,395,47972,153341,310,45809,128917,85,2163,24424,66,2286,19088,329,45686,134253,235,45768,79228,185,44278,68719,50,1490,10509,28,1540,5405,207,44228,73823,,,,,,,,,,,,,,
1/11/19,83226,88,32,901,14961,131490,11023,514774,2927378,7673,15614,74584,3612,501608,2890844,2988,6815,52117,22576,803762,8330106,18503,72720,366611,3973,730240,7957760,4601,11571,101768,100,783,42,42,11023,189642,1921684,7673,15611,74444,3612,178591,1880909,2988,6814,51993,22456,287053,4279783,18483,72551,364932,3973,214502,3914851,4598,11542,100624,474,7759,56890,790,11900,95333,1,14,47,1,15,51,,,,,,,,,,,,,246,4086,20675,,43645,132310,137,2122,7183,,43630,72068,246,47731,152985,168,45708,128765,78,2023,24220,51,2142,18778,195,45589,134207,137,45752,79251,91,44292,68757,46,1460,10494,20,1635,5456,117,44117,73795,,,,,,,,,,,,,,
1/12/19,83403,264,36,2859,13375,130219,30304,446696,2926103,25331,37376,95883,5462,405905,2880612,23246,29803,73371,51729,647420,8258176,45973,111727,406936,5611,534882,7845453,35898,46837,136893,145,792,87,124,30304,212791,1933798,25331,37376,95782,5462,181719,1882910,23246,29803,73312,51482,331599,4325634,45871,111486,405172,5611,220113,3920462,35898,46824,135764,2382,8546,57649,4737,14885,98204,1,15,48,1,16,52,,,,,,,,,,,,,272,3939,20321,,43645,132310,118,2102,7183,,43630,72068,272,47584,152631,159,45626,128612,113,1958,24019,60,2132,18766,212,45452,133865,118,45732,79251,77,44287,68793,41,1445,10458,17,1777,5547,101,43955,73704,,,,,,,,,,,,,,
1/13/19,83428,112,47,9065,17717,134804,60776,322073,2868374,7084,39775,96949,55942,286927,2824647,2637,30925,74157,74639,473636,7802160,18222,124092,416371,56203,348643,7379943,4054,50382,139759,214,890,57,172,60776,258311,1904051,7084,39775,96846,55942,226272,1854280,2637,30925,74097,74411,400175,4041231,18208,123859,414613,56203,276316,3626618,4054,50372,138635,8531,14831,63531,12848,24671,107984,2,17,48,2,18,53,,,,,,,,,,,,,3419,6893,23033,22444,66089,154754,1508,3486,8552,10978,54608,83046,25863,72982,177787,20228,65587,148483,5635,7395,29304,670,4430,22431,25193,68552,155356,12486,58094,91598,8629,52845,77374,3857,5249,14224,,2865,6417,12486,55229,85181,,,,,,,,,,,,,,
1/14/19,83420,57,24,2414,17715,133353,31447,276455,2694274,3840,39789,97226,28323,243147,2644318,883,30950,74363,43351,433937,7217006,12158,125666,419971,31029,307345,6791191,1420,50367,139358,164,926,55,302,31447,276455,1766811,3827,39789,97122,28323,243147,1717183,881,30950,74302,43122,432727,3601341,12093,125382,418171,31029,307345,3183170,1419,50357,138246,635,13988,62281,1057,23800,106556,1,16,47,1,17,53,,,,,,,,,,,,,841,7462,23454,,66089,154754,347,3730,8819,,54608,83046,841,73551,178208,631,66058,148887,210,7493,29321,172,4707,22914,669,68844,155294,347,58338,91865,211,52986,77553,136,5352,14312,44,2974,6591,303,55364,85274,,,,,,,,,,,,,,
